hash	m	k_log	n_log	threads	variant	group	median_ms	min_ms
keccak	23	16	7	8	production-driver+stripe	8	0.1657	0.1365
keccak	23	16	7	8	row-major	8	0.0739	0.0604
keccak	23	16	7	8	L1-full	8	0.2120	0.1813
keccak	23	16	7	8	L1-useful-nt	8	0.1228	0.0899
keccak	23	16	7	8	L1-useful-stripe-nt	8	0.1804	0.1611
keccak	23	16	7	8	compute-only	8	0.1082	0.0795
keccak	26	16	10	8	production-driver+stripe	8	0.7612	0.7151
keccak	26	16	10	8	row-major	8	0.2946	0.2693
keccak	26	16	10	8	L1-full	64	0.8093	0.7733
keccak	26	16	10	8	L1-useful-nt	64	0.5944	0.4197
keccak	26	16	10	8	L1-useful-stripe-nt	64	0.8508	0.6378
keccak	26	16	10	8	compute-only	64	0.3454	0.2997
keccak	29	16	13	8	production-driver+stripe	8	6.9356	6.8985
keccak	29	16	13	8	row-major	8	2.0891	2.0422
keccak	29	16	13	8	L1-full	64	7.2244	7.0644
keccak	29	16	13	8	L1-useful-nt	64	3.3087	3.2930
keccak	29	16	13	8	L1-useful-stripe-nt	64	4.8840	4.7737
keccak	29	16	13	8	compute-only	64	1.9396	1.9259
sha2	23	15	8	8	production-driver+stripe	8	0.1471	0.1450
sha2	23	15	8	8	row-major	8	0.1233	0.0993
sha2	23	15	8	8	L1-full	16	0.1868	0.1508
sha2	23	15	8	8	L1-useful-nt	16	0.1322	0.1114
sha2	23	15	8	8	L1-useful-stripe-nt	16	0.1999	0.1897
sha2	23	15	8	8	compute-only	16	0.1166	0.1068
sha2	26	15	11	8	production-driver+stripe	8	0.8078	0.7476
sha2	26	15	11	8	row-major	8	0.4567	0.3890
sha2	26	15	11	8	L1-full	64	0.9062	0.8687
sha2	26	15	11	8	L1-useful-nt	64	0.7448	0.6589
sha2	26	15	11	8	L1-useful-stripe-nt	64	0.9083	0.8816
sha2	26	15	11	8	compute-only	64	0.5457	0.4979
sha2	29	15	14	8	production-driver+stripe	8	7.8637	7.6850
sha2	29	15	14	8	row-major	8	3.0966	3.0469
sha2	29	15	14	8	L1-full	64	8.3075	8.1258
sha2	29	15	14	8	L1-useful-nt	64	9.2954	5.8631
sha2	29	15	14	8	L1-useful-stripe-nt	64	6.5700	6.4338
sha2	29	15	14	8	compute-only	64	3.5810	3.4647
blake3	23	14	9	8	production-driver+stripe	8	0.1710	0.1635
blake3	23	14	9	8	row-major	8	0.1120	0.1078
blake3	23	14	9	8	L1-full	32	0.1902	0.1331
blake3	23	14	9	8	L1-useful-nt	32	0.1775	0.1659
blake3	23	14	9	8	L1-useful-stripe-nt	32	0.1935	0.1804
blake3	23	14	9	8	compute-only	32	0.1577	0.1332
blake3	26	14	12	8	production-driver+stripe	8	1.5380	1.2489
blake3	26	14	12	8	row-major	8	0.4826	0.4438
blake3	26	14	12	8	L1-full	64	0.9811	0.9422
blake3	26	14	12	8	L1-useful-nt	64	0.7248	0.6734
blake3	26	14	12	8	L1-useful-stripe-nt	64	0.9680	0.8961
blake3	26	14	12	8	compute-only	64	0.6208	0.6102
blake3	29	14	15	8	production-driver+stripe	8	8.1878	7.9047
blake3	29	14	15	8	row-major	8	3.4287	3.3735
blake3	29	14	15	8	L1-full	64	8.3219	8.2081
blake3	29	14	15	8	L1-useful-nt	64	4.7818	4.6878
blake3	29	14	15	8	L1-useful-stripe-nt	64	6.4049	5.7892
blake3	29	14	15	8	compute-only	64	4.0553	3.8425
keccak	23	16	7	1	production-driver+stripe	8	0.5587	0.3441
keccak	23	16	7	1	row-major	8	0.2548	0.2505
