hash	m	k_log	n_log	threads	variant	group	median_ms	min_ms
keccak	23	16	7	8	production-driver+stripe	8	0.1782	0.1585
keccak	23	16	7	8	row-major	8	0.1538	0.0843
keccak	23	16	7	8	L1-full	8	0.1627	0.1530
keccak	23	16	7	8	L1-useful-nt	8	0.1316	0.1008
keccak	23	16	7	8	L1-useful-stripe-nt	8	0.1665	0.1561
keccak	23	16	7	8	compute-only	8	0.1063	0.0940
keccak	23	16	7	8	L1-direct-stripe	8	0.1119	0.0840
keccak	26	16	10	8	production-driver+stripe	8	1.4699	1.0921
keccak	26	16	10	8	row-major	8	0.2871	0.2748
keccak	26	16	10	8	L1-full	64	0.8305	0.7740
keccak	26	16	10	8	L1-useful-nt	64	0.5515	0.4433
keccak	26	16	10	8	L1-useful-stripe-nt	64	0.7598	0.6302
keccak	26	16	10	8	compute-only	64	0.3074	0.2903
keccak	26	16	10	8	L1-direct-stripe	8	0.4006	0.3878
keccak	29	16	13	8	production-driver+stripe	8	6.9158	6.4297
keccak	29	16	13	8	row-major	8	2.2138	2.1056
keccak	29	16	13	8	L1-full	64	7.4127	7.1778
keccak	29	16	13	8	L1-useful-nt	64	3.5086	3.4469
keccak	29	16	13	8	L1-useful-stripe-nt	64	5.0116	4.9890
keccak	29	16	13	8	compute-only	64	2.0282	2.0050
keccak	29	16	13	8	L1-direct-stripe	8	2.8975	2.8334
sha2	23	15	8	8	production-driver+stripe	8	0.1650	0.1462
sha2	23	15	8	8	row-major	8	0.0958	0.0897
sha2	23	15	8	8	L1-full	16	0.1903	0.1782
sha2	23	15	8	8	L1-useful-nt	16	0.2148	0.1570
sha2	23	15	8	8	L1-useful-stripe-nt	16	0.1956	0.1213
sha2	23	15	8	8	compute-only	16	0.2055	0.1115
sha2	23	15	8	8	L1-direct-stripe	8	0.1359	0.1069
sha2	26	15	11	8	production-driver+stripe	8	1.2037	1.1271
sha2	26	15	11	8	row-major	8	0.4334	0.4156
sha2	26	15	11	8	L1-full	64	0.9322	0.9030
sha2	26	15	11	8	L1-useful-nt	64	0.8473	0.7022
sha2	26	15	11	8	L1-useful-stripe-nt	64	0.9960	0.8651
sha2	26	15	11	8	compute-only	64	0.6547	0.5591
sha2	26	15	11	8	L1-direct-stripe	8	0.6812	0.6559
sha2	29	15	14	8	production-driver+stripe	8	8.9047	8.0848
sha2	29	15	14	8	row-major	8	3.1834	3.0843
sha2	29	15	14	8	L1-full	64	8.4384	8.3914
sha2	29	15	14	8	L1-useful-nt	64	5.2855	5.0266
sha2	29	15	14	8	L1-useful-stripe-nt	64	6.6403	6.6233
sha2	29	15	14	8	compute-only	64	3.4652	3.4446
sha2	29	15	14	8	L1-direct-stripe	8	4.8082	4.7421
blake3	23	14	9	8	production-driver+stripe	8	0.1707	0.1519
blake3	23	14	9	8	row-major	8	0.1195	0.1057
blake3	23	14	9	8	L1-full	32	0.1997	0.1834
blake3	23	14	9	8	L1-useful-nt	32	0.2583	0.1494
blake3	23	14	9	8	L1-useful-stripe-nt	32	0.2700	0.1789
blake3	23	14	9	8	compute-only	32	0.2174	0.1363
blake3	23	14	9	8	L1-direct-stripe	8	0.1379	0.1275
blake3	26	14	12	8	production-driver+stripe	8	1.2822	1.2339
blake3	26	14	12	8	row-major	8	0.5217	0.4606
blake3	26	14	12	8	L1-full	64	0.9702	0.9297
blake3	26	14	12	8	L1-useful-nt	64	0.7331	0.7261
blake3	26	14	12	8	L1-useful-stripe-nt	64	0.9860	0.9245
