hash	m	k_log	n_log	threads	variant	group	median_ms	min_ms
keccak	26	16	10	8	production-driver+stripe	8	1.3811	1.3100
keccak	26	16	10	8	row-major	8	0.3443	0.3308
keccak	26	16	10	8	row-major-stripe-recycled	8	0.6072	0.5901
keccak	26	16	10	8	L1-full	64	1.1092	0.7440
keccak	26	16	10	8	L1-useful-nt	64	0.5144	0.4950
keccak	26	16	10	8	L1-useful-stripe-nt	64	0.8796	0.6441
keccak	26	16	10	8	compute-only	64	0.3581	0.3422
keccak	26	16	10	8	L1-direct-stripe	8	0.4053	0.3889
keccak	29	16	13	8	production-driver+stripe	8	7.8227	7.0296
keccak	29	16	13	8	row-major	8	2.2303	2.1490
keccak	29	16	13	8	row-major-stripe-recycled	8	3.5484	3.3855
keccak	29	16	13	8	L1-full	64	7.5133	7.4323
keccak	29	16	13	8	L1-useful-nt	64	3.5203	3.4248
keccak	29	16	13	8	L1-useful-stripe-nt	64	5.1581	4.9179
keccak	29	16	13	8	compute-only	64	2.1673	1.9952
keccak	29	16	13	8	L1-direct-stripe	8	2.9696	2.8774
sha2	26	15	11	8	production-driver+stripe	8	1.4523	1.3129
sha2	26	15	11	8	row-major	8	0.5481	0.4938
sha2	26	15	11	8	row-major-stripe-recycled	8	0.7893	0.6858
sha2	26	15	11	8	L1-full	64	1.1562	1.1133
sha2	26	15	11	8	L1-useful-nt	64	0.8215	0.8026
sha2	26	15	11	8	L1-useful-stripe-nt	64	1.0203	0.9833
sha2	26	15	11	8	compute-only	64	0.6245	0.5787
sha2	26	15	11	8	L1-direct-stripe	8	0.7112	0.6512
sha2	29	15	14	8	production-driver+stripe	8	8.2492	8.0663
sha2	29	15	14	8	row-major	8	3.1016	3.0653
sha2	29	15	14	8	row-major-stripe-recycled	8	4.6906	4.6343
sha2	29	15	14	8	L1-full	64	8.7534	8.5829
sha2	29	15	14	8	L1-useful-nt	64	5.1697	5.1422
sha2	29	15	14	8	L1-useful-stripe-nt	64	6.5701	6.4793
sha2	29	15	14	8	compute-only	64	3.7372	3.5262
sha2	29	15	14	8	L1-direct-stripe	8	4.8652	4.7698
blake3	26	14	12	8	production-driver+stripe	8	1.4514	1.3742
blake3	26	14	12	8	row-major	8	0.4980	0.4782
blake3	26	14	12	8	row-major-stripe-recycled	8	0.7455	0.6918
blake3	26	14	12	8	L1-full	64	0.9799	0.9132
blake3	26	14	12	8	L1-useful-nt	64	0.7778	0.6954
blake3	26	14	12	8	L1-useful-stripe-nt	64	1.0112	0.9782
blake3	26	14	12	8	compute-only	64	0.6401	0.5955
blake3	26	14	12	8	L1-direct-stripe	8	0.6964	0.6775
blake3	29	14	15	8	production-driver+stripe	8	8.5583	8.4315
blake3	29	14	15	8	row-major	8	3.4185	3.4056
blake3	29	14	15	8	row-major-stripe-recycled	8	5.0090	4.9908
blake3	29	14	15	8	L1-full	64	8.5130	8.3741
blake3	29	14	15	8	L1-useful-nt	64	4.8150	4.6573
blake3	29	14	15	8	L1-useful-stripe-nt	64	6.3029	6.2337
blake3	29	14	15	8	compute-only	64	3.9259	3.8048
blake3	29	14	15	8	L1-direct-stripe	8	5.0765	5.0164
keccak	26	16	10	1	production-driver+stripe	8	4.4733	3.6126
keccak	26	16	10	1	row-major	8	1.7427	1.6594
keccak	26	16	10	1	row-major-stripe-recycled	8	3.2017	3.1247
keccak	26	16	10	1	L1-full	64	3.9383	3.9102
keccak	26	16	10	1	L1-useful-nt	64	2.5961	2.5487
keccak	26	16	10	1	L1-useful-stripe-nt	64	4.0282	3.9822
keccak	26	16	10	1	compute-only	64	1.5891	1.5392
keccak	26	16	10	1	L1-direct-stripe	8	2.6039	2.5930
keccak	29	16	13	1	production-driver+stripe	8	27.0330	26.8450
keccak	29	16	13	1	row-major	8	12.6113	12.1273
keccak	29	16	13	1	row-major-stripe-recycled	8	24.3259	24.1830
keccak	29	16	13	1	L1-full	64	49.4049	49.2788
keccak	29	16	13	1	L1-useful-nt	64	20.2505	20.0895
keccak	29	16	13	1	L1-useful-stripe-nt	64	31.9186	31.7574
keccak	29	16	13	1	compute-only	64	11.5323	11.3887
keccak	29	16	13	1	L1-direct-stripe	8	21.4185	21.2780
sha2	26	15	11	1	production-driver+stripe	8	4.6447	4.5375
sha2	26	15	11	1	row-major	8	2.7748	2.7618
sha2	26	15	11	1	row-major-stripe-recycled	8	4.3591	4.2880
sha2	26	15	11	1	L1-full	64	5.3730	5.2376
sha2	26	15	11	1	L1-useful-nt	64	4.2007	4.1820
sha2	26	15	11	1	L1-useful-stripe-nt	64	5.5979	5.5123
sha2	26	15	11	1	compute-only	64	2.9298	2.8582
sha2	26	15	11	1	L1-direct-stripe	8	4.1063	4.0978
sha2	29	15	14	1	production-driver+stripe	8	37.7189	37.4062
sha2	29	15	14	1	row-major	8	22.2069	21.9158
sha2	29	15	14	1	row-major-stripe-recycled	8	34.2860	34.0550
sha2	29	15	14	1	L1-full	64	58.3153	57.4673
sha2	29	15	14	1	L1-useful-nt	64	32.5953	32.4321
sha2	29	15	14	1	L1-useful-stripe-nt	64	44.1274	43.8019
sha2	29	15	14	1	compute-only	64	22.5997	22.4005
sha2	29	15	14	1	L1-direct-stripe	8	35.6220	35.3600
blake3	26	14	12	1	production-driver+stripe	8	5.0925	4.9398
blake3	26	14	12	1	row-major	8	3.2048	3.1481
blake3	26	14	12	1	row-major-stripe-recycled	8	4.7270	4.6639
blake3	26	14	12	1	L1-full	64	5.7216	5.3760
blake3	26	14	12	1	L1-useful-nt	64	3.7637	3.6960
blake3	26	14	12	1	L1-useful-stripe-nt	64	5.2781	5.2136
blake3	26	14	12	1	compute-only	64	3.1627	3.0870
blake3	26	14	12	1	L1-direct-stripe	8	4.5178	4.4565
blake3	29	14	15	1	production-driver+stripe	8	42.1728	41.2435
blake3	29	14	15	1	row-major	8	25.2881	25.2701
blake3	29	14	15	1	row-major-stripe-recycled	8	37.5584	37.4052
blake3	29	14	15	1	L1-full	64	59.9120	59.5633
blake3	29	14	15	1	L1-useful-nt	64	30.0170	29.3010
blake3	29	14	15	1	L1-useful-stripe-nt	64	41.5249	41.1914
blake3	29	14	15	1	compute-only	64	24.2033	24.0413
blake3	29	14	15	1	L1-direct-stripe	8	38.0086	37.6916
