hash	m	k_log	n_log	threads	config	median_ms	min_ms
keccak	23	16	7	8	rowmajor-dense	1.3719	1.1277
keccak	23	16	7	8	rowmajor-padded	1.0574	0.9887
keccak	23	16	7	8	l1-dense	1.1488	1.0798
keccak	23	16	7	8	l1-suffix-skip	0.9232	0.8819
keccak	26	16	10	8	rowmajor-dense	5.0272	4.9310
keccak	26	16	10	8	rowmajor-padded	3.9080	3.7641
keccak	26	16	10	8	l1-dense	4.9914	4.9180
keccak	26	16	10	8	l1-suffix-skip	3.8652	3.7811
keccak	29	16	13	8	rowmajor-dense	35.7484	33.5349
keccak	29	16	13	8	rowmajor-padded	24.7815	24.6296
keccak	29	16	13	8	l1-dense	33.9826	33.5219
keccak	29	16	13	8	l1-suffix-skip	25.6321	25.3120
sha2	23	15	8	8	rowmajor-dense	1.0436	1.0369
sha2	23	15	8	8	rowmajor-padded	1.0319	1.0009
sha2	23	15	8	8	l1-dense	1.0649	1.0167
sha2	23	15	8	8	l1-suffix-skip	1.0797	1.0152
sha2	26	15	11	8	rowmajor-dense	4.8850	4.6708
sha2	26	15	11	8	rowmajor-padded	4.6732	4.6306
sha2	26	15	11	8	l1-dense	4.9760	4.7807
sha2	26	15	11	8	l1-suffix-skip	4.7785	4.6573
sha2	29	15	14	8	rowmajor-dense	34.2953	33.7187
sha2	29	15	14	8	rowmajor-padded	33.0041	32.5642
sha2	29	15	14	8	l1-dense	33.7163	33.6200
sha2	29	15	14	8	l1-suffix-skip	33.1911	33.1390
blake3	23	14	9	8	rowmajor-dense	1.5053	1.2148
blake3	23	14	9	8	rowmajor-padded	1.3428	1.2096
blake3	23	14	9	8	l1-dense	1.6633	1.2664
blake3	23	14	9	8	l1-suffix-skip	1.6485	1.1668
blake3	26	14	12	8	rowmajor-dense	5.2334	4.7935
blake3	26	14	12	8	rowmajor-padded	5.1581	4.7403
blake3	26	14	12	8	l1-dense	5.2163	4.7920
blake3	26	14	12	8	l1-suffix-skip	5.2028	4.9045
blake3	29	14	15	8	rowmajor-dense	33.4751	32.9300
blake3	29	14	15	8	rowmajor-padded	32.8487	32.6777
blake3	29	14	15	8	l1-dense	34.6552	33.6187
blake3	29	14	15	8	l1-suffix-skip	33.1619	33.0150
keccak	23	16	7	1	rowmajor-dense	5.2633	5.0005
keccak	23	16	7	1	rowmajor-padded	3.3202	3.3094
keccak	23	16	7	1	l1-dense	4.2452	4.1761
keccak	23	16	7	1	l1-suffix-skip	2.9584	2.9575
keccak	26	16	10	1	rowmajor-dense	29.4390	29.3798
keccak	26	16	10	1	rowmajor-padded	21.0518	20.9111
keccak	26	16	10	1	l1-dense	29.0880	29.0848
keccak	26	16	10	1	l1-suffix-skip	20.9413	20.8601
keccak	29	16	13	1	rowmajor-dense	233.0016	231.7198
keccak	29	16	13	1	rowmajor-padded	165.9598	164.9392
keccak	29	16	13	1	l1-dense	239.4404	233.6171
keccak	29	16	13	1	l1-suffix-skip	165.2434	164.9067
sha2	23	15	8	1	rowmajor-dense	4.0490	3.9683
sha2	23	15	8	1	rowmajor-padded	3.8770	3.8388
sha2	23	15	8	1	l1-dense	3.9612	3.9600
sha2	23	15	8	1	l1-suffix-skip	3.8949	3.8514
sha2	26	15	11	1	rowmajor-dense	28.9695	28.9672
sha2	26	15	11	1	rowmajor-padded	28.3165	28.0576
sha2	26	15	11	1	l1-dense	29.1563	29.0868
sha2	26	15	11	1	l1-suffix-skip	28.1379	28.0809
sha2	29	15	14	1	rowmajor-dense	229.4497	228.1612
sha2	29	15	14	1	rowmajor-padded	223.7495	222.6295
sha2	29	15	14	1	l1-dense	229.4518	228.8992
sha2	29	15	14	1	l1-suffix-skip	222.2442	221.0304
blake3	23	14	9	1	rowmajor-dense	4.0280	4.0104
blake3	23	14	9	1	rowmajor-padded	3.8423	3.8380
blake3	23	14	9	1	l1-dense	3.9914	3.9859
blake3	23	14	9	1	l1-suffix-skip	3.8470	3.7908
blake3	26	14	12	1	rowmajor-dense	29.1804	29.0817
blake3	26	14	12	1	rowmajor-padded	34.1486	28.6724
blake3	26	14	12	1	l1-dense	29.2940	29.2505
blake3	26	14	12	1	l1-suffix-skip	27.8730	27.8710
blake3	29	14	15	1	rowmajor-dense	228.8346	228.7735
blake3	29	14	15	1	rowmajor-padded	222.4238	222.1237
blake3	29	14	15	1	l1-dense	229.2087	228.9556
blake3	29	14	15	1	l1-suffix-skip	219.6426	217.6577
