hash	m	k_log	n_log	threads	variant	median_ms	min_ms
keccak	23	16	7	8	fold-stripe-fast	1.1580	0.8515
keccak	23	16	7	8	fold-stripe-neon-oblock	0.6331	0.5590
keccak	23	16	7	8	fold-fused-l1	0.5195	0.4449
keccak	23	16	7	8	witgen-with-stripe	0.0894	0.0876
keccak	23	16	7	8	witgen-no-stripe	0.1077	0.0807
keccak	26	16	10	8	fold-stripe-fast	3.7656	3.5413
keccak	26	16	10	8	fold-stripe-neon-oblock	1.3934	1.2335
keccak	26	16	10	8	fold-fused-l1	1.3222	1.1320
keccak	26	16	10	8	witgen-with-stripe	0.4070	0.3922
keccak	26	16	10	8	witgen-no-stripe	0.3374	0.3308
keccak	29	16	13	8	fold-stripe-fast	8.8555	8.1046
keccak	29	16	13	8	fold-stripe-neon-oblock	2.8466	2.5587
keccak	29	16	13	8	fold-fused-l1	7.8345	7.0626
keccak	29	16	13	8	witgen-with-stripe	2.8591	2.8229
keccak	29	16	13	8	witgen-no-stripe	2.5717	2.4882
sha2	23	15	8	8	fold-stripe-fast	0.8100	0.5965
sha2	23	15	8	8	fold-stripe-neon-oblock	0.4350	0.3460
sha2	23	15	8	8	fold-fused-l1	0.4343	0.2822
sha2	23	15	8	8	witgen-with-stripe	0.0949	0.0929
sha2	23	15	8	8	witgen-no-stripe	0.0778	0.0757
sha2	26	15	11	8	fold-stripe-fast	3.3937	3.2287
sha2	26	15	11	8	fold-stripe-neon-oblock	1.0215	0.8519
sha2	26	15	11	8	fold-fused-l1	1.5669	1.3251
sha2	26	15	11	8	witgen-with-stripe	0.6524	0.6139
sha2	26	15	11	8	witgen-no-stripe	0.5217	0.4976
sha2	29	15	14	8	fold-stripe-fast	8.7892	8.4728
sha2	29	15	14	8	fold-stripe-neon-oblock	3.3249	3.0062
sha2	29	15	14	8	fold-fused-l1	9.7025	9.3593
sha2	29	15	14	8	witgen-with-stripe	4.8901	4.7752
sha2	29	15	14	8	witgen-no-stripe	3.7146	3.6234
blake3	23	14	9	8	fold-stripe-fast	1.1015	0.8267
blake3	23	14	9	8	fold-stripe-neon-oblock	0.5578	0.3966
